name,type,value,date
"Hong Kong, China",,180914,1996/1/1
"Hong Kong, China",,188195,1997/1/1
"Hong Kong, China",,174864,1998/1/1
"Hong Kong, China",,174403,1999/1/1
"Hong Kong, China",,202683,2000/1/1
"Hong Kong, China",,191066,2001/1/1
"Hong Kong, China",,201928,2002/1/1
"Hong Kong, China",,228708,2003/1/1
"Hong Kong, China",,265543,2004/1/1
"Hong Kong, China",,292119,2005/1/1
"Hong Kong, China",,322669,2006/1/1
"Hong Kong, China",,349386,2007/1/1
"Hong Kong, China",,370242,2008/1/1
"Hong Kong, China",,329422,2009/1/1
"Hong Kong, China",,400692,2010/1/1
"Hong Kong, China",,455573,2011/1/1
"Hong Kong, China",,492907,2012/1/1
"Hong Kong, China",,535546,2013/1/1
"Hong Kong, China",,524130,2014/1/1
"Hong Kong, China",,510486,2015/1/1
"Hong Kong, China",,516635,2016/1/1
"Hong Kong, China",,549865,2017/1/1
"Hong Kong, China",,568456,2018/1/1
"Hong Kong, China",,534887,2019/1/1
"Hong Kong, China",,548773,2020/1/1
Hungary,,253,1948/1/1
Hungary,,387,1949/1/1
Hungary,,329,1950/1/1
Hungary,,396,1951/1/1
Hungary,,438,1952/1/1
Hungary,,498,1953/1/1
Hungary,,519,1954/1/1
Hungary,,601,1955/1/1
Hungary,,487,1956/1/1
Hungary,,488,1957/1/1
Hungary,,684,1958/1/1
Hungary,,770,1959/1/1
Hungary,,874,1960/1/1
Hungary,,1029,1961/1/1
Hungary,,1100,1962/1/1
Hungary,,1206,1963/1/1
Hungary,,1352,1964/1/1
Hungary,,1510,1965/1/1
Hungary,,1594,1966/1/1
Hungary,,1702,1967/1/1
Hungary,,1790,1968/1/1
Hungary,,2084,1969/1/1
Hungary,,2317,1970/1/1
Hungary,,2500,1971/1/1
Hungary,,3292,1972/1/1
Hungary,,4433,1973/1/1
Hungary,,5130,1974/1/1
Hungary,,6091,1975/1/1
Hungary,,4934,1976/1/1
Hungary,,5832,1977/1/1
Hungary,,6408,1978/1/1
Hungary,,7930,1979/1/1
Hungary,,8610,1980/1/1
Hungary,,8730,1981/1/1
Hungary,,8860,1982/1/1
Hungary,,8770,1983/1/1
Hungary,,8620,1984/1/1
Hungary,,8470,1985/1/1
Hungary,,9170,1986/1/1
Hungary,,9580,1987/1/1
Hungary,,10000,1988/1/1
Hungary,,9670,1989/1/1
Hungary,,10000,1990/1/1
Hungary,,10185,1991/1/1
Hungary,,10705,1992/1/1
Hungary,,8905,1993/1/1
Hungary,,10700,1994/1/1
Hungary,,12865,1995/1/1
Hungary,,15705,1996/1/1
Hungary,,19100,1997/1/1
Hungary,,23005,1998/1/1
Hungary,,25032,1999/1/1
Hungary,,28192,2000/1/1
Hungary,,30436,2001/1/1
Hungary,,34517,2002/1/1
Hungary,,43094,2003/1/1
Hungary,,55567,2004/1/1
Hungary,,62936,2005/1/1
Hungary,,75255,2006/1/1
Hungary,,95400,2007/1/1
Hungary,,108504,2008/1/1
Hungary,,83008,2009/1/1
Hungary,,95483,2010/1/1
Hungary,,112312,2011/1/1
Hungary,,103570,2012/1/1
Hungary,,107503,2013/1/1
Hungary,,110622,2014/1/1
Hungary,,98524,2015/1/1
Hungary,,101919,2016/1/1
Hungary,,113806,2017/1/1
Hungary,,124705,2018/1/1
Hungary,,123796,2019/1/1
Hungary,,120365,2020/1/1
India,,1295,1948/1/1
India,,1197,1949/1/1
India,,1145,1950/1/1
India,,1602,1951/1/1
India,,1243,1952/1/1
India,,1101,1953/1/1
India,,1169,1954/1/1
India,,1263,1955/1/1
India,,1257,1956/1/1
India,,1380,1957/1/1
India,,1216,1958/1/1
India,,1323,1959/1/1
India,,1332,1960/1/1
India,,1386,1961/1/1
India,,1403,1962/1/1
India,,1626,1963/1/1
India,,1705,1964/1/1
India,,1687,1965/1/1
India,,1954,1966/1/1
India,,1613,1967/1/1
India,,1761,1968/1/1
India,,1835,1969/1/1
India,,2026,1970/1/1
India,,2036,1971/1/1
India,,2448,1972/1/1
India,,2917,1973/1/1
India,,3926,1974/1/1
India,,4355,1975/1/1
India,,5549,1976/1/1
India,,6378,1977/1/1
India,,6671,1978/1/1
India,,7806,1979/1/1
India,,8586,1980/1/1
India,,8295,1981/1/1
India,,9358,1982/1/1
India,,9148,1983/1/1
India,,9451,1984/1/1
India,,9140,1985/1/1
India,,9399,1986/1/1
India,,11298,1987/1/1
India,,13234,1988/1/1
India,,15872,1989/1/1
India,,17969,1990/1/1
India,,17727,1991/1/1
India,,19628,1992/1/1
India,,21572,1993/1/1
India,,25022,1994/1/1
India,,30630,1995/1/1
India,,33105,1996/1/1
India,,35008,1997/1/1
India,,33437,1998/1/1
India,,35667,1999/1/1
India,,42379,2000/1/1
India,,43361,2001/1/1
India,,49250,2002/1/1
India,,58963,2003/1/1
India,,76649,2004/1/1
India,,99616,2005/1/1
India,,121808,2006/1/1
India,,150159,2007/1/1
India,,194828,2008/1/1
India,,164909,2009/1/1
India,,226351,2010/1/1
India,,302905,2011/1/1
India,,296828,2012/1/1
India,,314848,2013/1/1
India,,322694,2014/1/1
India,,267951,2015/1/1
India,,264542,2016/1/1
India,,299241,2017/1/1
India,,324778,2018/1/1
India,,324340,2019/1/1
India,,276227,2020/1/1
Indonesia,,394,1948/1/1
Indonesia,,527,1949/1/1
Indonesia,,800,1950/1/1
Indonesia,,1292,1951/1/1
Indonesia,,934,1952/1/1
Indonesia,,840,1953/1/1
Indonesia,,867,1954/1/1
Indonesia,,946,1955/1/1
Indonesia,,925,1956/1/1
Indonesia,,955,1957/1/1
Indonesia,,791,1958/1/1
Indonesia,,931,1959/1/1
Indonesia,,841,1960/1/1
Indonesia,,784,1961/1/1
Indonesia,,682,1962/1/1
Indonesia,,696,1963/1/1
Indonesia,,724,1964/1/1
Indonesia,,708,1965/1/1
Indonesia,,679,1966/1/1
Indonesia,,665,1967/1/1
Indonesia,,731,1968/1/1
Indonesia,,854,1969/1/1
Indonesia,,1108,1970/1/1
Indonesia,,1234,1971/1/1
Indonesia,,1777,1972/1/1
Indonesia,,3211,1973/1/1
Indonesia,,7426,1974/1/1
Indonesia,,7102,1975/1/1
Indonesia,,8547,1976/1/1
Indonesia,,10853,1977/1/1
Indonesia,,11643,1978/1/1
Indonesia,,15591,1979/1/1
Indonesia,,21909,1980/1/1
Indonesia,,22260,1981/1/1
Indonesia,,22293,1982/1/1
Indonesia,,21152,1983/1/1
Indonesia,,21902,1984/1/1
Indonesia,,18590,1985/1/1
Indonesia,,16075,1986/1/1
Indonesia,,17135,1987/1/1
Indonesia,,19465,1988/1/1
Indonesia,,22160,1989/1/1
Indonesia,,25675,1990/1/1
Indonesia,,29142,1991/1/1
Indonesia,,33967,1992/1/1
Indonesia,,36823,1993/1/1
Indonesia,,40055,1994/1/1
Indonesia,,45417,1995/1/1
Indonesia,,49814,1996/1/1
Indonesia,,56298,1997/1/1
Indonesia,,50370,1998/1/1
Indonesia,,51243,1999/1/1
Indonesia,,65403,2000/1/1
Indonesia,,57361,2001/1/1
Indonesia,,59166,2002/1/1
Indonesia,,64108,2003/1/1
Indonesia,,70767,2004/1/1
Indonesia,,86996,2005/1/1
Indonesia,,103527,2006/1/1
Indonesia,,118013,2007/1/1
Indonesia,,139606,2008/1/1
Indonesia,,119646,2009/1/1
Indonesia,,157779,2010/1/1
Indonesia,,203497,2011/1/1
Indonesia,,190032,2012/1/1
Indonesia,,182552,2013/1/1
Indonesia,,176293,2014/1/1
Indonesia,,150366,2015/1/1
Indonesia,,144490,2016/1/1
Indonesia,,168811,2017/1/1
Indonesia,,180215,2018/1/1
Indonesia,,167683,2019/1/1
Indonesia,,163306,2020/1/1
Ireland,,199,1948/1/1
Ireland,,226,1949/1/1
Ireland,,203,1950/1/1
Ireland,,228,1951/1/1
Ireland,,284,1952/1/1
Ireland,,319,1953/1/1
Ireland,,322,1954/1/1
Ireland,,309,1955/1/1
Ireland,,303,1956/1/1
Ireland,,368,1957/1/1
Ireland,,368,1958/1/1
Ireland,,366,1959/1/1
Ireland,,427,1960/1/1
Ireland,,505,1961/1/1
Ireland,,488,1962/1/1
Ireland,,549,1963/1/1
Ireland,,549,1964/1/1
Ireland,,618,1965/1/1
Ireland,,684,1966/1/1
Ireland,,790,1967/1/1
Ireland,,798,1968/1/1
Ireland,,891,1969/1/1
Ireland,,1120,1970/1/1
Ireland,,1312,1971/1/1
Ireland,,1607,1972/1/1
